FX,ex_sec,ex_cost,opt_sec,opt_cost
0,0.02,8,0.02,0
1,0.03,13,0.04,6
2,0.05,10,0.04,6
3,0.03,11,0.03,4
4,0.03,11,0.03,6
5,0.03,10,0.03,4
6,0.05,12,0.05,8
7,0.03,12,0.03,6
8,0.03,12,0.03,6
9,0.04,11,0.04,8
10,0.03,12,0.03,4
11,0.03,13,0.04,6
12,0.02,13,0.03,4
13,0.03,12,0.03,6
14,0.03,14,0.03,6
15,0.03,13,0.02,2
16,0.03,12,0.02,6
17,0.03,14,0.02,4
18,0.04,13,0.04,8
19,0.03,13,0.04,6
20,0.04,13,0.04,8
21,0.03,12,0.04,6
22,0.13,nan,0.03,nan
23,0.22,nan,0.1,nan
24,0.08,nan,0.03,nan
25,0.26,nan,0.05,nan
26,0.14,nan,0.03,nan
27,0.04,12,0.04,6
28,0.09,nan,0.05,nan
29,0.04,14,0.04,6
30,0.2,nan,0.05,nan
31,0.03,10,0.03,4
32,0.03,12,0.02,6
33,0.05,13,0.05,8
34,0.02,15,0.02,4
35,0.03,12,0.03,6
36,0.12,nan,0.03,nan
37,0.17,nan,0.03,nan
38,0.2,nan,0.03,nan
39,0.03,14,0.04,6
40,0.04,12,0.05,8
41,0.19,nan,0.04,nan
42,0.03,13,0.03,6
43,0.24,nan,0.1,nan
44,0.13,nan,0.03,nan
45,0.2,nan,0.06,nan
46,0.05,10,0.04,6
47,0.03,13,0.02,4
48,0.03,12,0.02,4
49,0.03,12,0.03,6
50,0.03,16,0.03,6
51,0.02,11,0.02,2
52,0.15,nan,0.04,nan
53,0.03,13,0.04,6
54,0.2,nan,0.05,nan
55,0.03,13,0.03,4
56,0.07,nan,0.05,nan
57,0.16,nan,0.06,nan
58,0.03,10,0.04,6
59,0.03,14,0.03,4
60,0.03,13,0.03,6
61,0.3,nan,0.09,nan
62,0.31,nan,0.08,nan
63,0.03,9,0.02,4
64,0.03,12,0.03,6
65,0.06,13,0.05,8
66,0.11,nan,0.03,nan
67,0.15,nan,0.04,nan
68,0.03,12,0.02,4
69,0.03,14,0.04,6
70,0.11,nan,0.03,nan
71,0.07,14,0.04,6
72,0.04,12,0.04,8
73,0.1,nan,0.05,nan
74,0.19,nan,0.04,nan
75,0.15,nan,0.03,nan
76,0.03,15,0.03,6
77,0.26,nan,0.06,nan
78,0.03,12,0.04,6
79,0.03,16,0.03,4
80,0.03,10,0.02,4
81,0.03,14,0.03,6
82,0.16,nan,0.05,nan
83,0.03,14,0.04,6
84,0.03,12,0.03,6
85,0.03,11,0.03,2
86,0.15,nan,0.05,nan
87,0.03,16,0.03,4
88,0.2,nan,0.05,nan
89,0.08,nan,0.06,nan
90,0.07,13,0.04,6
91,0.35,nan,0.13,nan
92,0.06,11,0.03,6
93,0.03,9,0.03,4
94,0.41,nan,0.12,nan
95,0.03,11,0.02,4
96,0.08,12,0.04,8
97,0.17,nan,0.03,nan
98,0.13,nan,0.03,nan
99,0.2,nan,0.05,nan
