FX,ex_sec,ex_cost,opt_sec,opt_cost
0,0.04,32,0.04,0
1,0.05,33,0.07,6
2,0.05,39,0.07,6
3,0.05,29,0.05,4
4,0.05,34,0.07,6
5,0.04,43,0.06,4
6,0.05,37,0.12,11
7,0.05,32,0.07,6
8,0.05,33,0.07,6
9,0.05,35,0.12,11
10,0.05,32,0.05,4
11,0.05,37,0.07,6
12,0.05,33,0.05,4
13,0.05,36,0.08,6
14,0.05,35,0.07,6
15,0.05,32,0.05,2
16,0.05,33,0.07,6
17,0.05,33,0.05,4
18,0.05,35,0.13,11
19,0.05,34,0.07,6
20,0.05,36,0.12,11
21,0.05,35,0.1,6
22,0.06,40,0.27,17
23,0.05,36,0.14,9
24,0.05,35,0.14,12
25,0.05,39,0.11,10
26,0.05,38,0.12,10
27,0.05,36,0.08,6
28,0.05,37,0.12,10
29,0.05,38,0.11,6
30,0.05,40,0.24,12
31,0.04,35,0.06,4
32,0.05,31,0.07,6
33,0.05,34,0.13,11
34,0.05,36,0.05,4
35,0.05,30,0.07,6
36,0.05,32,0.13,12
37,0.05,34,0.12,10
38,0.05,36,0.11,10
39,0.05,41,0.08,6
40,0.05,36,0.13,11
41,0.07,40,0.27,17
42,0.05,36,0.08,6
43,0.05,36,0.18,9
44,0.05,39,0.12,10
45,0.05,33,0.19,12
46,0.05,32,0.09,6
47,0.05,37,0.05,4
48,0.05,34,0.05,4
49,0.05,35,0.07,6
50,0.04,36,0.07,6
51,0.05,32,0.05,2
52,0.05,39,0.12,10
53,0.05,29,0.09,6
54,0.05,38,0.18,12
55,0.05,36,0.06,4
56,0.05,38,0.13,10
57,0.05,36,0.18,12
58,0.05,34,0.12,6
59,0.07,35,0.06,4
60,0.05,37,0.09,6
61,0.05,36,0.15,9
62,0.05,34,0.17,9
63,0.05,37,0.05,4
64,0.05,35,0.07,6
65,0.05,37,0.13,11
66,0.05,41,0.13,12
67,0.05,38,0.12,10
68,0.05,33,0.05,4
69,0.04,36,0.06,6
70,0.05,37,0.11,10
71,0.04,40,0.08,6
72,0.05,37,0.11,11
73,0.07,45,0.28,17
74,0.05,36,0.12,10
75,0.05,39,0.17,12
76,0.05,34,0.07,6
77,0.05,35,0.15,9
78,0.05,35,0.07,6
79,0.05,37,0.05,4
80,0.04,33,0.08,4
81,0.05,30,0.09,6
82,0.05,36,0.12,10
83,0.05,38,0.09,6
84,0.05,34,0.07,6
85,0.04,40,0.05,2
86,0.05,38,0.17,12
87,0.05,40,0.08,4
88,0.05,36,0.12,10
89,0.05,38,0.18,12
90,0.05,34,0.09,6
91,0.05,38,0.17,9
92,0.05,34,0.08,6
93,0.05,39,0.05,4
94,0.05,33,0.17,9
95,0.05,35,0.06,4
96,0.06,35,0.12,11
97,0.06,41,0.31,17
98,0.05,30,0.14,10
99,0.1,32,0.24,12
100,0.07,38,0.15,10
101,0.08,39,0.26,12
102,0.06,36,0.1,6
103,0.06,35,0.2,9
